,Name,Country,Brand,Categories,Tasting Notes,ABV,Base Ingredient,Years Aged,Rating,Rate Count,Price,Volume,Description
25,DeKuyper Mixologist Collection Ginger Liqueur,United States,DeKuyper Liqueur,"Brandy, Flavored Brandy",,15%,,,5,1,$12.99 ,,"Ginger liqueur cocktails will never be the same with DeKuyper® Mixologist Collection Ginger. Light golden in color and exotic in both aroma and taste, Ginger starts with the sweetness of honey before the true ginger root flavor kicks in for a spicy, savory finish. Accentuate fruit and spice flavors in your drinks with its smooth, distinctive finish."
57,DeKuyper Michigan Cherry Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$12.99 ,,"Tart and deliciously sweet, DeKuyper® Michigan Cherry is made from real Michigan cherries. Bring the deliciously sweet and comforting flavor of ripe cherries to any cocktail. Perfect for sipping after dinner or mixing into your favorite desserts, its bold red color and cherry flavor infuses cocktails with a delicious burst of sweetness. With a heritage dating back more than 300 years, DeKuyper® Cordials , Liqueurs continues to be on the cutting edge of the spirits industry. DeKuyper's evolution has been successful through the combination of its rich, traditional expertise and modern innovation, creating mixable and versatile cordials, liqueurs, crèmes, brandies and schnapps made from the world's finest ingredients. DeKuyper has been the brand bartenders trust to add color, flavor and fun to any cocktail."
34,DeKuyper Sloe Gin,United States,DeKuyper Liqueur,"Liqueur, Sloe Gin",,30%,,,5,1,$12.99 ,,"Brighten any beverage with the distinctive fruit flavor of DeKuyper® Sloe Gin. Bright red and bittersweet, this liqueur is the must-have ingredient in a classic Sloe Gin Fizz. Plum-like from its signature ingredient, this versatile ingredient pairs wonderfully with almond flavors."
49,Dekuyper Schnapps Spearmint,United States,DeKuyper Liqueur,Liqueur,,30%,,,5,1,$12.99 ,,"Energize your cocktails with DeKuyper® Spearmint Schnapps Liqueur. Made with real spearmint extract, this liqueur is cool to the core. Freshen up iced tea or your favorite cocktail for a pleasantly chilling experience, perfect for a hot summer day. Shake it up with ice and Pucker Strawberry Schnapps for a refreshing Minted Berry, perfect for sipping poolside in the shade."
21,DeKuyper Hazelnut Schnapps Liqueur,United States,DeKuyper Liqueur,"Liqueur, Nuts, Amaretto Liqueur",,45%,,,5,2,$12.99 ,,"Versatile with a quintessential nutty taste, DeKuyper® Hazelnut Liqueur is essential for classic and modern cocktails. Hazelnuts give this unique liqueur its sweet and unmistakable full-bodied flavor. Complement cocktails with cream or chocolate notes with its distinct nut flavors. Build a festive Raspberry Hazelnut Dream, layering it with Irish cream and JDK , Sons™ O3 Premium Orange Liqueur, topping with JDK , Sons™ Rouge Liqueur for a dessert or after-dinner cocktail."
60,Dekuyper Mixologist Collection Muddled Mint Liqueur,United States,DeKuyper Liqueur,"Herbal, Spice Liqueur, Liqueur",,20%,,,5,1,$12.99 ,,"Saving you time without sacrificing flavor DeKuyper® Mixologist Collection Muddled Mint adds refreshing mint taste to your beverages. Make delicious minty cocktails without having to prepare ingredients from scratch. Perfect for Mojitos or Mint Juleps, this liqueur is great for shots or added to warm and frozen drinks. Build a Mint Peach Fizz, mixing it with DeKuyper® Peachtree® and lemon lime soda or add to tea for a Mint Tea, both perfect for a sip in the shade on a sunny day."
64,Dekuyper Wilderberry Schnapps Liqueur,United States,DeKuyper Liqueur,Liqueur,,15%,,,5,1,$13.09 ,,
27,DeKuyper Kirschwasser Flavored Brandy,United States,DeKuyper Liqueur,"Brandy, Liqueur, Cordials,  Schnapps",,45%,,,5,1,$13.09 ,,Add rich cherry flavor to your cocktail repertoire with DeKuyper® Kirschwasser Flavored Brandy. Bold cherry flavor from the Black Forest makes this an unforgettable ingredient in your favorite cocktails.
164,Smirnoff Savannah Tea,United States,Smirnoff Vodka,Vodka,,12.70%,,,5,1,$13.19 ,,Host the perfect party by serving bar quality Smirnoff Cocktails at home. You are guaranteed the perfect cocktail in every pour.
102,Bacardi Classic Cocktails Hand Shaken Daiquri,Puerto Rico,Bacardi Rum,Ready-to-Drink,,15%,,,5,1,$13.19 ,,
15,Dekuyper Hot Damn Cinnamon Schnapps 100 Proof,Netherlands,DeKuyper Liqueur,Liqueur,,50%,,,5,3,$13.74 ,,Hot cinnamon starts any night off with a bang.
98,Bacardi Pina Colada,Puerto Rico,Bacardi Rum,"Pina Colada Ready-to-Drink, Ready-to-Drink",,11.50%,,,5,1,$13.99 ,,"A truly tropical taste, BACARDI Classic Cocktails Pina Colada infused with coconut water combines fresh pineapple and sweet coconut water with BACARDI Superior Rum."
101,BACARDÍ Classic Cocktail Pina Colada,Puerto Rico,Bacardi Rum,"Pina Colada Ready-to-Drink, Ready-to-Drink",,15%,,,5,1,$13.99 ,,"Since its creation in 1862, BACARDÍ has inspired the world's favorite cocktails, including the BACARDÍ Piña Colada. Experience the refreshing and natural taste of the BACARDÍ Piña Colada. Simply pour over ice and add your personal twist with a garnish of pineapple."
161,Smirnoff Grand Cosmopolitan,United States,Smirnoff Vodka,Vodka,,15%,,,5,1,$13.99 ,,Host the perfect party by serving bar quality Smirnoff Cocktails at home. You are guaranteed the perfect cocktail in every pour.
131,Smirnoff Sorbet Light Raspberry Pomegranate,United States,Smirnoff Vodka,"American Vodka, Vodka",,30%,,,5,60,$13.99 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Sorbet Light Raspberry Pomegranate is the perfect addition to a cocktail party. Our 60 proof vodka is infused with delicate hints of raspberry and pomegranate for a sweet, cool flavor. 

Triple distilled and 10 times filtered, our sorbet-inspired specialty spirit is perfect on its own or adding a delicious kick to your favorite mixed drink. Simply mix with soda, lemonade, or cranberry juice. 

Founded in 1864, the Smirnoff brand traveled from Russia to the rest of the world due to our award-winning quality and smooth liquid. We pride ourselves on bringing our famous beverage to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from our traditionally distilled vodka. Please drink responsibly."
160,Smirnoff Sourced Ruby Red Grapefruit,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,2,$13.99 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Sourced Ruby Red Grapefruit is the perfect addition to a cocktail party. Our 60 proof vodka is infused with real grapefruit juice for a tart and refreshing taste. Triple distilled and 10 times filtered, our grapefruit specialty spirit is smooth enough to be taken alone or to add a delicious kick to your favorite mixed drink. Simply add tonic water and pour over ice for a refreshing tasting mixed drink. Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
165,Smirnoff Sourced Pineapple,United States,Smirnoff Vodka,"Flavored Vodka, Vodka",,30%,,,5,1,$13.99 ,,A tropical splash that pairs best with a healthy dose of sunshine.
168,Smirnoff Wild Honey,United States,Smirnoff Vodka,Vodka,,30%,,,5,1,$13.99 ,,"SMIRNOFF® Wild Honey combines the pure, sweet taste of golden honey with a wild side of floral fruitiness that could only be found in nature."
177,Smirnoff Sourced Cranberry Apple,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,1,$13.99 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Sourced Cranberry Apple is the perfect addition to a cocktail party. Our 60 proof vodka is infused with real apple and cranberry fruit juice for a tart yet sweet taste. Triple distilled and 10 times filtered, our cranberry apple specialty spirit is smooth enough to be taken alone or to add a sweet kick to your favorite mixed drink. Simply add tonic water and pour over ice for a refreshing tasting cran-apple mixed drink.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
151,Smirnoff Ruby Red Grapefruit,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,5,5,$13.99 ,,"Infused with juicy grapefruit for a flavorful citrus finish, Smirnoff Ruby Red Grapefruit is the perfect Vodka Specialty for your favorite cocktail recipes. Triple distilled, this 70 proof specialty is smooth enough to drink on the rocks or in a round of shots. Simply mix this citrus vodka specialty with ruby red grapefruit juice and tonic water, and pour over ice for a sparkling Really Ruby cocktail. Smirnoff Ruby Red Grapefruit’s tasty fruit infused flavors allow for endless and unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
176,Smirnoff Pomegranate,United States,Smirnoff Vodka,"American Vodka, Vodka",,35%,,,5,1,$13.99 ,,"Infused with the natural flavor of juicy ripe pomegranate, Smirnoff Pomegranate is the perfect vodka specialty to add to your next cocktail party, adding a semi-sweet taste with a sour finish to your cocktails. Triple distilled, this 70 proof specialty spirit is smooth enough to drink on the rocks or for a round of shots. Simply mix this fruity vodka specialty with iced green tea, mango juice and simple syrup and pour over ice for a refreshing tasting Pomango cocktail, or mix it with soda water or cranberry juice for a quick and easy mixed drink. Smirnoff Pomegranate’s tasty fruit infused flavors allow for endless unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
179,Smirnoff Love Wins Original Vodka,United States,Smirnoff Vodka,"American Vodka, Vodka",,40%,,,5,1,$13.99 ,,"Take pride in who you are and everything you love with Smirnoff No. 21 Love Wins 80 Proof Vodka. Our smooth 80 proof vodka is poured into a limited edition, prismatic bottle that features real same-sex couples celebrating their stories. Triple distilled and 10 times filtered, our gluten free vodka traditionally can be enjoyed alone or mixed into your favorite cocktail. Add with pineapple juice, lemon-lime soda, raspberries and rainbow sherbet for a creamy Rainbow Float punch.  We believe the best times happen when we have a share-the-love spirit. That's why for every bottle purchased, Smirnoff will donate $1 to the Human Rights Campaign to keep that love going. So here's to being who you are and letting love win! Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
178,Smirnoff Iced Cake,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,1,$14.10 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Iced Cake is the perfect addition to a cocktail party. Our 60 proof vodka is infused with the nostalgic flavor experience of vanilla cake made from the box. This is a unique full cake flavor experience, more than just notes of sugar and vanilla. Triple distilled and 10 times filtered, our iced cake specialty spirit is smooth enough to be taken alone or to add a delicious kick to your favorite mixed drink. Simply mix with orange juice, pineapple juice and club soda for a delightfully tropical Upside Down Cake cocktail.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
132,Smirnoff Red White & Berry,United States,Smirnoff Vodka,"Flavored Vodka, Vodka",,30%,,,4.8,46,$14.21 ,,"Smirnoff Red, White & Berry has the cooling taste of Cherry, Citrus and Sweet Blue Raspberry flavors all combined for a refreshingly delicious taste of freedom. Perfect as a chilled shot or try the amazing 'Merica Mule cocktail. Just pour 2 Oz Smirnoff Red, White & Berry and 3 Oz Ginger Beer in an ice filled mule mug.  Add 0.5 Oz lemon juice, stir gently and garnish with red and blue berries and lemon wedge."
134,Smirnoff Kissed Caramel,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,39,$14.21 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Kissed Caramel is the perfect addition to a cocktail party. Our 60 proof vodka is infused with the confectionery taste of salted caramel for a sweet finish. Triple distilled and 10 times filtered, our caramel specialty spirit is smooth enough to be taken alone or to add a delicious kick to your favorite mixed drink. Simply mix with apple cider and pour over ice for a sweet and aromatic cocktail.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
140,Smirnoff Whipped Cream,United States,Smirnoff Vodka,"American Vodka, Vodka",,30%,,,5,20,$14.21 ,,"Smirnoff Whipped Cream is the perfect Vodka Specialty for your next cocktail party, infused with the confectionary taste of whipped cream for a light and decadent taste. Triple distilled, this specialty spirit is smooth enough to drink on the rocks or in a round of vodka shots. Simply mix this decadent vodka specialty with coffee, root beer or ginger ale for a creamy, sweet party drink that's quick and easy to make. Smirnoff Whipped Cream’s rich infused flavor allows for endless unique drink ideas. Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
150,Smirnoff Sours Watermelon,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,6,$14.21 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Sours Watermelon is the perfect addition to a cocktail party. Our 60 proof vodka is infused with the flavor of pink watermelon for a tangy and sweet taste. Triple distilled and 10 times filtered, our sour watermelon specialty spirit is smooth enough to be taken alone or to add a tart kick to your favorite mixed drink. Simply pour in a chilled glass for a perfect shot.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
154,Smirnoff Sours Berry Lemon,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,4,$14.21 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Sours Berry Lemon is the perfect addition to a cocktail party. Our 60 proof vodka is infused with the sharp, tangy flavors of berries and lemon for a sour and sweet taste. Triple distilled and 10 times filtered, our sour berry lemon specialty spirit is smooth enough to be taken alone or to add a tart kick to your favorite mixed drink. Simply pour in a chilled glass for a perfect shot. Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
172,Smirnoff Sours Green Apple,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,1,$14.21 ,,"Whether you sip it on the rocks or with soda and a twist, Smirnoff Sours Green Apple is the perfect addition to a cocktail party. Our 60 proof vodka is infused with the crisp flavor of green apples for a sour and sweet taste. Triple distilled and 10 times filtered, our sour green apple specialty spirit is smooth enough to be taken alone or to add a tart kick to your favorite mixed drink. Simply pour in a chilled glass for a perfect shot.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
125,Smirnoff Vanilla,United States,Smirnoff Vodka,"American Vodka, Best Vodka, Flavored Vodka, Vodka",,35%,,,4.8,113,$14.21 ,,"Smirnoff Vanilla is infused with the natural flavor of vanilla for a sweet and indulgent flavor in your favorite vodka specialty drink. This triple distilled vodka specialty is smooth enough to enjoy on the rocks or in a mixed drink. Simply mix this gluten free vodka specialty with ginger beer or coffee for a delicious beverage at your next cocktail party.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
136,Smirnoff Peppermint Twist,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,28,$14.29 ,,"Smirnoff Peppermint Twist is the perfect Vodka Specialty for your holiday party, infused with a candied peppermint flavor for a cool and minty finish in your drinks. Triple distilled, this limited edition specialty spirit is smooth enough to drink on the rocks or in a round of vodka shots. Simply mix this vodka specialty with hot cocoa and garnish with crushed candy cane for an adult Peppermint Hot Chocolate, or add it to your coffee for a spiked holiday coffee drink. Smirnoff Peppermint Twist’s rich infused flavors allow for endless unique drink ideas. Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
144,Smirnoff Pineapple,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,5,12,$14.36 ,,"Smirnoff Pineapple is the perfect Vodka Specialty for your next cocktail party, infused with a natural pineapple flavor for a tropical taste of the islands in your drinks. Triple distilled, this 70 proof specialty spirit is smooth enough to drink on the rocks or in a round of shots. Simply mix this vodka specialty with orange juice and lime juice and pour over ice with an orange twist. It also pairs well with soda water, lemonade or pineapple juice for an easy mixed drink. Smirnoff Pineapple’s tasty fruit infused flavors allow for endless unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
146,Smirnoff Orange,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,5,7,$14.36 ,,"Smirnoff Orange is the perfect addition to your next cocktail party, infused with a blend of six varietals of mandarin and navel oranges for a zesty citrus flavor. Triple distilled, this 70 proof orange specialty spirit is smooth enough to drink on the rocks or in a round of vodka shots. Simply mix this citrus vodka specialty with pineapple juice and cranberry juice and pour over ice for a refreshing tasting Crushed Orange cocktail, or serve it with soda water and a twist for a simple mixed drink. Smirnoff Orange’s tasty fruit infused flavors allow for endless unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
117,BACARDÍ Raspberry Mojito,Puerto Rico,Bacardi Rum,"Flavored Rum, Rum",,15%,,,5,1,$14.49 ,,"A raspberry mojito cocktail prepared with Bacardi Superior Rum, cool mint and raspberries."
180,Smirnoff Zero Sugar Infusions Lemon & Elderflower,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,1,$14.49 ,,"Enjoy the perfectly balanced flavor of Smirnoff Zero Sugar Infusions Lemon & Elderflower, made with zero sugar and no artificial flavors for a refreshing tasting drink. This 60 proof vodka specialty features bright lemon citrus flavor balanced with light floral notes of elderflower for a sweet finish. Simply mix with some club soda, garnish with a lemon wedge, and done!  Smirnoff Zero Sugar Infusions offer balanced, natural flavor combinations with zero sugar and no compromise on taste. Per 1.5 fl oz - Average Analysis: Calories - 72; Carbohydrates - 0g; Sugar - 0g; Protein - 0g; Fat - 0g. Please enjoy responsibly."
126,Smirnoff Raspberry,United States,Smirnoff Vodka,"American Vodka, Best Vodka, Cheap Vodka, Flavored Vodka, Vodka",,35%,,,4.9,103,$14.49 ,,"Infused with the natural flavor of raspberries for a tart and fruity finish, Smirnoff Raspberry is the perfect Vodka Specialty for your next cocktail party. Triple distilled, this 70 proof specialty spirit is smooth enough to drink on the rocks or in a round of shots. Simply mix this rich and robust vodka specialty with lemon juice and simple syrup for a refreshing Raspberry Breeze cocktail. It also pairs well with soda water, lemonade or cranberry juice for a quick and easy mixed drink. Smirnoff Raspberry’s tasty fruit infused flavors allow for endless unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
149,Smirnoff Peach,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,5,6,$14.49 ,,"Smirnoff Peach is the perfect Vodka Specialty for your next cocktail party. It's infused with the natural flavor of juicy peaches, adding a pleasant sweet and fruity taste to your drinks. Triple distilled, this specialty spirit is smooth enough to enjoy on the rocks or in a round of shots. Simply mix this summery vodka specialty with lemonade, iced tea and simple syrup for a refreshing tasting Peach Fuzz cocktail. It also pairs well with soda water and a twist for a quick, refreshing tasting cocktail. Smirnoff’s tasty fruit infused flavors allow for endless unique drink ideas. Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
37,Dekuyper Crèmes Blue Curacao,United States,DeKuyper Liqueur,Liqueur,,20%,,,5,1,$14.49 ,,"Perfect for margaritas or tropical drinks. Don't forget the little umbrellas and a garnish of pineapple, orange slice, and a maraschino cherry."
152,Smirnoff No. 21 Ornament Edition,United States,Smirnoff Vodka,"American Vodka, Vodka",,40%,,,5,5,$14.52 ,,"Deck the halls this season with Smirnoff No. 21 Vodka Limited Edition Ornament Bottle. Perfect for holiday parties, gift giving or treating yourself, our award-winning vodka comes in a limited edition, ornament-shaped bottle for a festive and fun experience. 

Our 80 proof vodka has a robust flavor with a dry finish for ultimate smoothness and clarity. Triple distilled and 10 times filtered, our No. 21 Vodka is a 2017 San Francisco World Spirits Competition Double Gold Medal Winner and a gluten-free, certified Kosher spirit. Simply mix with ginger beer and lime juice for a classic Moscow Mule. 

Founded in 1864, the Smirnoff brand traveled from Russia to the rest of the world due to our award-winning quality and smooth liquid. We pride ourselves on bringing our famous beverage to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from our traditionally distilled vodka. Please drink responsibly."
137,Smirnoff Zero Sugar Infusions Cucumber & Lime,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,4.6,27,$14.55 ,,"Enjoy the perfectly balanced flavor of Smirnoff Zero Sugar Infusions Cucumber & Lime, made with zero sugar and no artificial flavors for a refreshing tasting drink. This 60 proof award-winning* vodka specialty features the crisp, cool flavor of fresh cucumber with bright citrus notes of lime to make a splash at any occasion. Simply mix with some club soda, garnish with a cucumber ribbon and lime wedge, and done. Smirnoff Zero Sugar Infusions offer balanced, natural flavor combinations with zero sugar and no compromise on taste. *2020 San Francisco World Spirits Competition Gold Medal Winner Per 1.5 fl oz - Average Analysis: Calories - 72; Carbohydrates - 0 g; Sugar - 0 g; Protein - 0g; Fat - 0g. Please enjoy responsibly."
142,Smirnoff Zero Sugar Infusions Watermelon & Mint,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,4.6,15,$14.55 ,,"Lighten up your drinks with the perfectly balanced flavor of Smirnoff Zero Sugar Infusions Watermelon & Mint, made with zero sugar and no artificial flavors for a refreshing tasting drink. Awarded a gold medal* in 2019, this 60 proof vodka specialty features a juicy watermelon flavor that balances the taste of fresh mint for a refreshing tasting finish. Simply splash in some club soda, garnish with a watermelon slice and a sprig of mint, and done! Infused with the essence of real botanicals and natural fruit flavors, Smirnoff Zero Sugar Infusions offer balanced, natural flavor combinations with zero sugar and no compromise on taste. *2019 San Francisco World Spirits Competition Gold Medal Winner Per 1.5 fl oz - Average Analysis: Calories - 72; Carbohydrates - 0 g; Sugar - 0 g; Protein - 0g; Fat - 0g. Please enjoy responsibly."
158,Smirnoff Sourced Watermelon,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,5,2,$14.55 ,,"Enjoy delicious, juicy drinks for everyone with Smirnoff Sourced Watermelon. Made with real fruit juice and other natural flavors, Smirnoff Sourced Watermelon is gluten-free and contains no high fructose corn syrup. For a delicious Bright & Juicy cocktail, combine one part Smirnoff Sourced Watermelon with two parts soda water, pour over ice and garnish with lemon or lime.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
127,Smirnoff Watermelon,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,4.9,94,$14.55 ,,"Smirnoff Watermelon is infused with a pink watermelon flavor for a sweet and refreshing taste in all of your drinks. Triple distilled, this specialty spirit is smooth enough to drink on the rocks or in a round of vodka shots. Simply combine this refreshing and fruity vodka specialty with watermelon cubes, jalapeno slices, lemon juice and simple syrup for a Spicy Watermelon mixed drink. It also pairs well with soda water, lemonade or iced tea for a quick, refreshing tasting cocktail. Smirnoff Watermelon’s tasty fruit infused flavors allow for endless unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
130,Smirnoff Citrus,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,4.4,69,$14.55 ,,"Infused with natural citrus flavor for a crisp and refreshing taste, Smirnoff Citrus is the perfect Vodka Specialty for your next cocktail party. Triple distilled, this 70 proof specialty spirit is smooth enough to enjoy on the rocks or in a round of shots. Simply mix this vodka specialty with lemonade and honey for a refreshing tasting Spring Lemon cocktail, or pair it with orange juice, cranberry juice or soda water with a twist for even more drink options. Smirnoff Citrus’s tasty fruit infused flavors allow for endless unique drink ideas. Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
143,Smirnoff Spicy Tamarind,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,5,13,$14.62 ,,"Celebrate the adventurous flavors of Mexico with Smirnoff Spicy Tamarind. Expertly infused with the exciting taste of tangy tamarind, Mexican chiles and a hint of lemon, this vodka specialty spirit is triple distilled and ten times filtered for clarity and smoothness. Smirnoff Spicy Tamarind is delicious on its own or mixed in classic cocktails for an adventurous night with your friends. Simply mix with grapefruit soda and lime juice, pour over ice and garnish with a lime wedge for a Spicy Tamarind Paloma.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please drink responsibly."
139,Smirnoff Cherry,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,4.7,23,$14.69 ,,"Infused with natural cherry flavor for a bold, tangy taste, Smirnoff Cherry is the perfect Vodka Specialty for your next party, adding a sweet and juicy kick to your mixed drinks. Triple distilled, this 70 proof specialty spirit is smooth enough to enjoy on the rocks or in a round of shots. For your next party or get-together, use this gluten free and Kosher Certified vodka specialty to add a cherry twist to your mixed drink recipes. Simply mix this vodka specialty with spiced rum and cola, and pour it over ice for a delicious and refreshing tasting Red Beard cocktail. Smirnoff Cherry’s tasty fruit infused flavor allows for endless unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
153,Smirnoff Cranberry,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,35%,,,5,4,$14.69 ,,"Smirnoff Cranberry is infused with the natural flavor of cranberry, adding a perfect balance of tart and sweet to any mixed drink. This vodka specialty is triple distilled, making it smooth enough to enjoy on the rocks or in a round of shots. Simply mix this gluten free vodka specialty with club soda and lime for a refreshing tasting drink to serve at your next cocktail party. Smirnoff Cranberry’s tasty fruit infused flavors allow for endless unique drink ideas.  Smirnoff prides itself on bringing famous beverages to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from the makers of the World’s No. 1 vodka. Please enjoy responsibly."
135,Smirnoff Zero Sugar Infusions Strawberry & Rose,United States,Smirnoff Vodka,"American Vodka, Flavored Vodka, Vodka",,30%,,,4.6,32,$14.73 ,,"Lighten up your drinks with the perfectly balanced flavor of Smirnoff Zero Sugar Infusions Strawberry & Rose, made with zero sugar and no artificial flavors for a refreshing tasting drink. This 60 proof vodka specialty features delicate strawberry flavor with a light rose petal finish for a fruity, sweet taste. Simply splash in some club soda, garnish with fresh strawberries and edible rose petals, and done!  Smirnoff Zero Sugar Infusions offer balanced, natural flavor combinations with zero sugar and no compromise on taste. Per 1.5 fl oz - Average Analysis: Calories - 72; Carbohydrates - 0 g; Sugar - 0 g; Protein - 0g; Fat - 0g. Please enjoy responsibly."
80,BACARDÍ Mango Flavored White Rum,Puerto Rico,Bacardi Rum,"Flavored Rum, Rum","Citrus, Light, Sweet, Tropical Fruit",35%,,,5,14,$14.83 ,,"A fusion of juicy mango with an unmistakable citrus zing of orange gives BACARDÍ Mango rum its unique character and flavor. Once you've tasted it, you will never forget it. A sweet fragrance of ripe mangos and the refreshing, juicy taste of light mango with a subtle burst of orange."
